ANIO|CLAVE DEL FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE CLIENTE O USUARIO|CLASIFICACION POR GRADO DE RIESGO|PAIS DE NACIONALIDAD|PAIS DE RESIDENCIA|ENTIDAD FEDERATIVA DE RESIDENCIA|ACTIVIDAD ECONOMICA|NUMERO TOTAL DE CLIENTES O USUARIOS
2025|A1|12345|01  |1|157|157|5|00000000006211023|125
2025|A1|12345|01  |1|157|157|5|00000000006212013|15
2025|A1|12345|01  |1|157|157|5|00000000006215017|5
2025|A1|12345|01  |1|157|157|5|00000000006215025|2
2025|A1|12345|01  |1|157|157|5|00000000006216023|7
2025|A1|12345|01  |1|157|157|5|00000000006221014|1
2025|A1|12345|01  |1|157|157|5|00000000006222012|4
2025|A1|12345|01  |1|157|157|5|00000000006224018|1
2025|A1|12345|01  |1|157|157|5|00000000006225016|4
2025|A1|12345|01  |1|157|157|5|00000000006225024|5
2025|A1|12345|01  |1|157|157|5|00000000006225032|1
2025|A1|12345|01  |1|157|157|5|00000000006226022|5
2025|A1|12345|01  |1|157|157|5|00000000006231013|15
2025|A1|12345|01  |1|157|157|5|00000000006231021|10
2025|A1|12345|01  |1|157|157|5|00000000006232011|5
2025|A1|12345|01  |1|157|157|5|00000000006233019|7
2025|A1|12345|01  |1|157|157|5|00000000006239017|12
2025|A1|12345|01  |1|157|157|5|00000000006311039|2
2025|A1|12345|01  |1|157|157|5|00000000006312011|17
2025|A1|12345|01  |1|157|157|5|00000000006314017|4
2025|A1|12345|01  |1|157|157|5|00000000006322010|5
2025|A1|12345|01  |1|157|157|5|00000000006325030|12
2025|A1|12345|01  |1|157|157|5|00000000006325048|1
2025|A1|12345|01  |1|157|157|5|00000000006326012|3
2025|A1|12345|01  |1|157|157|5|00000000006326020|2
2025|A1|12345|01  |1|157|157|5|00000000006329016|13
2025|A1|12345|01  |1|157|157|5|00000000006411011|35
2025|A1|12345|01  |1|157|157|5|00000000006412019|13
2025|A1|12345|01  |1|157|157|5|00000000006419015|1
2025|A1|12345|01  |1|157|157|5|00000000006511019|2
2025|A1|12345|01  |1|157|157|5|00000000006512017|11
2025|A1|12345|01  |1|157|157|5|00000000006513015|28
2025|A1|12345|01  |1|157|157|5|00000000006514013|2
2025|A1|12345|01  |1|157|157|5|00000000006519013|3
2025|A1|12345|01  |1|157|157|5|00000000006621016|1
2025|A1|12345|01  |1|157|157|5|00000000006622014|1
2025|A1|12345|01  |1|157|157|5|00000000006622022|15
2025|A1|12345|01  |1|157|157|5|00000000006623012|1
2025|A1|12345|01  |1|157|157|5|00000000006628012|1
2025|A1|12345|01  |1|157|157|5|00000000006629010|7
2025|A1|12345|01  |1|157|157|5|00000000006691019|1
2025|A1|12345|01  |1|157|157|5|00000000006692017|1
2025|A1|12345|01  |1|157|157|5|00000000006699021|3
2025|A1|12345|01  |1|157|157|5|00000000006699047|2
2025|A1|12345|01  |1|157|157|5|00000000006711015|1
2025|A1|12345|01  |1|157|157|5|00000000006714019|1
2025|A1|12345|01  |1|157|157|5|00000000006719019|3
2025|A1|12345|01  |1|157|157|5|00000000006729026|7
2025|A1|12345|01  |1|157|157|5|00000000006732011|3
2025|A1|12345|01  |1|157|157|5|00000000006811013|4
2025|A1|12345|01  |1|157|157|5|00000000006812011|1
2025|A1|12345|01  |1|157|157|5|00000000006815015|4
2025|A1|12345|01  |1|157|157|5|00000000006819017|5
2025|A1|12345|01  |1|157|157|5|00000000006911029|1
2025|A1|12345|01  |1|157|157|5|00000000006992011|1
2025|A1|12345|01  |1|157|157|5|00000000006999025|2
2025|A1|12345|01  |1|157|157|5|00000000006999041|1
2025|A1|12345|01  |1|157|157|5|00000000006999075|1
2025|A1|12345|01  |1|157|157|5|00000000006999083|2
2025|A1|12345|01  |1|157|157|5|00000000006999108|38
2025|A1|12345|01  |1|157|157|5|00000000006999900|17
2025|A1|12345|01  |1|157|157|5|00000000007111016|10
2025|A1|12345|01  |1|157|157|5|00000000007112014|21
2025|A1|12345|01  |1|157|157|5|00000000007113012|15
2025|A1|12345|01  |1|157|157|5|00000000007114010|9
2025|A1|12345|01  |1|157|157|5|00000000007115018|2
2025|A1|12345|01  |1|157|157|5|00000000007119010|5
2025|A1|12345|01  |1|157|157|5|00000000007121015|8
2025|A1|12345|01  |1|157|157|5|00000000007122013|2
2025|A1|12345|01  |1|157|157|5|00000000007123011|16
2025|A1|12345|01  |1|157|157|5|00000000007129019|81
2025|A1|12345|01  |1|157|157|5|00000000007129902|4
2025|A1|12345|01  |1|157|157|5|00000000007131014|8
2025|A1|12345|01  |1|157|157|5|00000000007133010|1
2025|A1|12345|01  |1|157|157|5|00000000007191018|3
2025|A1|12345|01  |1|157|157|5|00000000007291016|1
2025|A1|12345|01  |1|157|157|5|00000000007311012|9
2025|A1|12345|01  |1|157|157|5|00000000007414014|3
2025|A1|12345|01  |1|157|157|5|00000000007511018|2
2025|A1|12345|01  |1|157|157|5|00000000007512016|1
2025|A1|12345|01  |1|157|157|5|00000000007513014|5
2025|A1|12345|01  |1|157|157|5|00000000007519012|1
2025|A1|12345|01  |1|157|157|5|00000000007611016|4
2025|A1|12345|01  |1|157|157|5|00000000007613012|2
2025|A1|12345|01  |1|157|157|5|00000000007613905|1
2025|A1|12345|01  |1|157|157|5|00000000008113011|1
2025|A1|12345|01  |1|157|157|5|00000000008113128|1
2025|A1|12345|01  |1|157|157|5|00000000008123052|13
2025|A1|12345|01  |1|157|157|5|00000000008123060|6
2025|A1|12345|01  |1|157|157|5|00000000008123078|3
2025|A1|12345|01  |1|157|157|5|00000000008133027|3
2025|A1|12345|01  |1|157|157|5|00000000008133035|1
2025|A1|12345|01  |1|157|157|5|00000000008211013|1
2025|A1|12345|01  |1|157|157|5|00000000008219017|1
2025|A1|12345|01  |1|157|157|5|00000000008219025|2
2025|A1|12345|01  |1|157|157|5|00000000008219033|3
2025|A1|12345|01  |1|157|157|5|00000000008219041|17
2025|A1|12345|01  |1|157|157|5|00000000008219059|1
2025|A1|12345|01  |1|157|157|5|00000000008219067|3
2025|A1|12345|01  |1|157|157|5|00000000008219083|1
2025|A1|12345|01  |1|157|157|5|00000000008219122|1
2025|A1|12345|01  |1|157|157|5|00000000008219130|1
2025|A1|12345|01  |1|157|157|5|00000000008311011|1
2025|A1|12345|01  |1|157|157|5|00000000008312019|2
2025|A1|12345|01  |1|157|157|5|00000000008313017|1
2025|A1|12345|01  |1|157|157|5|00000000008411019|4
2025|A1|12345|01  |1|157|157|5|00000000008412017|2
2025|A1|12345|01  |1|157|157|5|00000000008413015|11
2025|A1|12345|01  |1|157|157|5|00000000008414013|2
2025|A1|12345|01  |1|157|157|5|00000000008415011|2
2025|A1|12345|01  |1|157|157|5|00000000008421018|4
2025|A1|12345|01  |1|157|157|5|00000000008422016|2
2025|A1|12345|01  |1|157|157|5|00000000008424012|39
2025|A1|12345|01  |1|157|157|5|00000000008425010|3
2025|A1|12345|01  |1|157|157|5|00000000008426018|4
2025|A1|12345|01  |1|157|157|5|00000000008426026|1
2025|A1|12345|01  |1|157|157|5|00000000008427016|15
2025|A1|12345|01  |1|157|157|5|00000000008428014|2
2025|A1|12345|01  |1|157|157|5|00000000008429012|3
2025|A1|12345|01  |1|157|157|5|00000000008429038|10
2025|A1|12345|01  |1|157|157|5|00000000008429046|1
2025|A1|12345|01  |1|157|157|5|00000000008511017|5
2025|A1|12345|01  |1|157|157|5|00000000008511033|1
2025|A1|12345|01  |1|157|157|5|00000000008519011|4
2025|A1|12345|01  |1|157|157|5|00000000008521016|2
2025|A1|12345|01  |1|157|157|5|00000000008522014|3
2025|A1|12345|01  |1|157|157|5|00000000008523012|1
2025|A1|12345|01  |1|157|157|5|00000000008524010|1
2025|A1|12345|01  |1|157|157|5|00000000008611015|14
2025|A1|12345|01  |1|157|157|5|00000000008612013|2
2025|A1|12345|01  |1|157|157|5|00000000008619019|3
2025|A1|12345|01  |1|157|157|5|00000000008711013|11
2025|A1|12345|01  |1|157|157|5|00000000008711021|172
2025|A1|12345|01  |1|157|157|5|00000000008712011|34
2025|A1|12345|01  |1|157|157|5|00000000008714017|2
2025|A1|12345|01  |1|157|157|5|00000000008719017|1
2025|A1|12345|01  |1|157|157|5|00000000008721012|2
2025|A1|12345|01  |1|157|157|5|00000000008722010|106
2025|A1|12345|01  |1|157|157|5|00000000008723018|3
2025|A1|12345|01  |1|157|157|5|00000000008813017|2
2025|A1|12345|01  |1|157|157|5|00000000008814015|1
2025|A1|12345|01  |1|157|157|5|00000000008821028|1
2025|A1|12345|01  |1|157|157|5|00000000008824014|3
2025|A1|12345|01  |1|157|157|5|00000000008825012|3
2025|A1|12345|01  |1|157|157|5|00000000008827018|2
2025|A1|12345|01  |1|157|157|5|00000000008829048|1
2025|A1|12345|01  |1|157|157|5|00000000008839013|1
2025|A1|12345|01  |1|157|157|5|00000000008839906|2
2025|A1|12345|01  |1|157|157|5|00000000008911019|27
2025|A1|12345|01  |1|157|157|5|00000000008913015|11
2025|A1|12345|01  |1|157|157|5|00000000008914013|5
2025|A1|12345|01  |1|157|157|5|00000000008915011|7
2025|A1|12345|01  |1|157|157|5|00000000008919013|14
2025|A1|12345|01  |1|157|157|5|00000000008921018|1
2025|A1|12345|01  |1|157|157|5|00000000008922016|15
2025|A1|12345|01  |1|157|157|5|00000000008922024|2
2025|A1|12345|01  |1|157|157|5|00000000008929020|2
2025|A1|12345|01  |1|157|157|5|00000000008932015|5
2025|A1|12345|01  |1|157|157|5|00000000008933013|36
2025|A1|12345|01  |1|157|157|5|00000000008934011|6
2025|A1|12345|01  |1|157|157|5|00000000008935019|38
2025|A1|12345|01  |1|157|157|5|00000000008936017|2
2025|A1|12345|01  |1|157|157|5|00000000008939011|2
2025|A1|12345|01  |1|157|157|5|00000000008941016|4
2025|A1|12345|01  |1|157|157|5|00000000008942014|8
2025|A1|12345|01  |1|157|157|5|00000000008944028|5
2025|A1|12345|01  |1|157|157|5|00000000008944098|38
2025|A1|12345|01  |1|157|157|5|00000000008949010|1
2025|A1|12345|01  |1|157|157|5|00000000008949888|7
2025|A1|12345|01  |1|157|157|5|00000000008949896|1
2025|A1|12345|01  |1|157|157|5|00000000008949903|24
2025|A1|12345|01  |1|157|157|5|00000000008991011|2376
2025|A1|12345|01  |1|157|157|5|00000000009112012|89
2025|A1|12345|01  |1|157|157|5|00000000009113010|35
2025|A1|12345|01  |1|157|157|5|00000000009115016|21
2025|A1|12345|01  |1|157|157|5|00000000009119018|12
2025|A1|12345|01  |1|157|157|5|00000000009121013|8
2025|A1|12345|01  |1|157|157|5|00000000009122011|5
2025|A1|12345|01  |1|157|157|5|00000000009129017|5
2025|A1|12345|01  |1|157|157|5|00000000009191016|1
2025|A1|12345|01  |1|157|157|5|00000000009211012|84
2025|A1|12345|01  |1|157|157|5|00000000009212010|17
2025|A1|12345|01  |1|157|157|5|00000000009213018|10
2025|A1|12345|01  |1|157|157|5|00000000009214016|7
2025|A1|12345|01  |1|157|157|5|00000000009215014|1
2025|A1|12345|01  |1|157|157|5|00000000009219016|2
2025|A1|12345|01  |1|157|157|5|00000000009221011|1
2025|A1|12345|01  |1|157|157|5|00000000009231010|1
2025|A1|12345|01  |1|157|157|5|00000000009231028|3
2025|A1|12345|01  |1|157|157|5|00000000009311044|3
2025|A1|12345|01  |1|157|157|5|00000000009322017|1
2025|A1|12345|01  |1|157|157|5|00000000009331018|13
2025|A1|12345|01  |1|157|157|5|00000000009411018|55
2025|A1|12345|01  |1|157|157|5|00000000009411026|52
2025|A1|12345|01  |1|157|157|5|00000000009411034|92
2025|A1|12345|01  |1|157|157|5|00000000009411901|2
2025|A1|12345|01  |1|157|157|5|00000000009411919|2
2025|A1|12345|01  |1|157|157|5|00000000009411998|30
2025|A1|12345|01  |1|157|157|5|00000000009471012|1
2025|A1|12345|01  |1|157|157|5|00000000009911018|3
2025|A1|12345|01  |1|157|157|5|00000000009912024|3
2025|A1|12345|01  |1|157|157|5|00000000009919012|47
2025|A1|12345|01  |1|157|157|5|00000000009999999|480
2025|A1|12345|01  |1|157|157|5|00000000|1530
2025|A1|12345|01  |5|157|157|5|00000000008219025|1
2025|A1|12345|03  |1|157|157|5|00000000008991011|1
2025|A1|12345|03  |1|157|157|5|00000000009999999|2
2025|A1|12345|03  |1|157|157|5|00000000|25
2025|A1|12345|03  |1|67|157|5|00000000|5
2025|A1|12345|05  |1|157|157|5|00000000000111089|1
2025|A1|12345|05  |1|157|157|5|00000000002093011|2
2025|A1|12345|05  |1|157|157|5|00000000002639013|1
2025|A1|12345|05  |1|157|157|5|00000000003699024|1
2025|A1|12345|05  |1|157|157|5|00000000003793024|1
2025|A1|12345|05  |1|157|157|5|00000000006114011|1
2025|A1|12345|05  |1|157|157|5|00000000006131023|1
2025|A1|12345|05  |1|157|157|5|00000000006216023|1
2025|A1|12345|05  |1|157|157|5|00000000006233019|1
2025|A1|12345|05  |1|157|157|5|00000000006325030|1
2025|A1|12345|05  |1|157|157|5|00000000007123011|1
2025|A1|12345|05  |1|157|157|5|00000000008711021|2
2025|A1|12345|05  |1|157|157|5|00000000008712011|1
2025|A1|12345|05  |1|157|157|5|00000000008933013|2
2025|A1|12345|05  |1|157|157|5|00000000008991011|2
2025|A1|12345|05  |1|157|157|5|00000000009919012|1
2025|A1|12345|05  |1|157|157|5|00000000009999999|1
2025|A1|12345|05  |1|157|157|5|00000000|1
2025|A1|12345|15 PEP|1|157|157|5|00000000000111104|1
2025|A1|12345|15 PEP|1|157|157|5|00000000002012011|1
2025|A1|12345|15 PEP|1|157|157|5|00000000002093011|1
2025|A1|12345|15 PEP|1|157|157|5|00000000002432011|1
2025|A1|12345|15 PEP|1|157|157|5|00000000002612019|1
2025|A1|12345|15 PEP|1|157|157|5|00000000003593028|1
2025|A1|12345|15 PEP|1|157|157|5|00000000004111019|1
2025|A1|12345|15 PEP|1|157|157|5|00000000004111944|1
2025|A1|12345|15 PEP|1|157|157|5|00000000005011010|1
2025|A1|12345|15 PEP|1|157|157|5|00000000006131023|2
2025|A1|12345|15 PEP|1|157|157|5|00000000006212013|1
2025|A1|12345|15 PEP|1|157|157|5|00000000006513015|1
2025|A1|12345|15 PEP|1|157|157|5|00000000008219025|1
2025|A1|12345|15 PEP|1|157|157|5|00000000008219041|1
2025|A1|12345|15 PEP|1|157|157|5|00000000008424012|1
2025|A1|12345|15 PEP|1|157|157|5|00000000008519011|1
2025|A1|12345|15 PEP|1|157|157|5|00000000008991011|5
2025|A1|12345|15 PEP|1|157|157|5|00000000009112012|1
2025|A1|12345|15 PEP|1|157|157|5|00000000009113010|2
2025|A1|12345|15 PEP|1|157|157|5|00000000009115016|1
2025|A1|12345|15 PEP|1|157|157|5|00000000009411018|4
2025|A1|12345|15 PEP|1|157|157|5|00000000009411026|3
2025|A1|12345|15 PEP|1|157|157|5|00000000009411034|6
2025|A1|12345|15 PEP|1|157|157|5|00000000009411998|1
2025|A1|12345|15 PEP|1|157|157|5|00000000009999999|2
2025|A1|12345|15 PEP|1|157|157|5|00000000|3
